id	kimariji_len	kimariji	kami_kana	shimo_kana
083	5	ヨノナカヨ	ヨノナカヨ ミチコソナケレ オモイイル	ヤマノオクニモ シカゾナクナル
084	3	ナガラ	ナガラエバ マタコノゴロヤ シノバレン	ウシトミシヨゾ イマワコイシキ
085	2	ヨモ	ヨモスガラ モノオモーコロワ アケヤラヌ	ネヤノヒマサエ ツレナカリケリ
086	3	ナゲケ	ナゲケトテ ツキヤワモノオ オモワスル	カコチガオナル ワガナミダカナ
087	1	ム	ムラサメノ ツユモマダヒヌ マキノハニ	キリタチノボル アキノユーグレ
088	4	ナニワエ	ナニワエノ アシノカリネノ ヒトヨユエ	ミオツクシテヤ コイワタルベキ
089	2	タマ	タマノオヨ タエナバタエネ ナガラエバ	シノブルコトノ ヨワリモゾスル
090	2	ミセ	ミセバヤナ オジマノアマノ ソデダニモ	ヌレニゾヌレシ イロワカワラズ
091	2	キリ	キリギリス ナクヤシモヨノ サムシロニ	コロモカタシキ ヒトリカモネン
092	3	ワガソ	ワガソデワ シオヒニミエヌ オキノイシノ	ヒトコソシラネ カワクマモナシ
093	5	ヨノナカワ	ヨノナカワ ツネニモガモナ ナギサコグ	アマノオブネノ ツナデカナシモ
094	2	ミヨ	ミヨシノノ ヤマノアキカゼ サヨフケテ	フルサトサムク コロモウツナリ
095	2	オオ	オオケナク ウキヨノタミニ オオーカナ	ワガタツソマニ スミゾメノソデ
096	3	ハナサ	ハナサソー アラシノニワノ ユキナラデ	フリユクモノワ ワガミナリケリ
097	2	コヌ	コヌヒトオ マツオノウラノ ユーナギニ	ヤクヤモシオノ ミモコガレツツ
098	3	カゼソ	カゼソヨグ ナラノオガワノ ユーグレワ	ミソギゾナツノ シルシナリケル
099	3	ヒトモ	ヒトモオシ ヒトモウラメシ アジキナク	ヨオオモーユエニ モノオモーミワ
100	2	モモ	モモシキヤ フルキノキバノ シノブニモ	ナオアマリアル ムカシナリケリ
